Code;DMARKER;BDPROPRCF;UKPROPRCF;BDCONPRCF;UKCDKO..F;;;;;;
01.01.1963;11.2044;37.4;9.3;29.3;53.5;;;;;;
01.02.1963;11.2274;37.5;9.3;29.7;54;;;;;;
01.03.1963;11.21225;37.4;9.3;29.6;54.1;;;;;;
01.04.1963;11.18175;37.3;9.3;29.7;54.2;;;;;;
01.05.1963;11.17833;37.3;9.4;29.6;54.2;;;;;;
01.06.1963;11.15153;37.3;9.3;29.4;54.2;;;;;;
01.07.1963;11.14815;37.3;9.3;29.4;53.9;;;;;;
01.08.1963;11.16078;37.3;9.3;29.4;53.7;;;;;;
01.09.1963;11.13844;37.4;9.4;29.6;53.9;;;;;;
01.10.1963;11.13542;37.5;9.4;29.6;54.1;;;;;;
01.11.1963;11.12722;37.5;9.4;29.8;54.2;;;;;;
01.12.1963;11.11646;37.5;9.4;30;54.3;;;;;;
01.01.1964;11.11705;37.6;9.4;30.2;54.6;;;;;;
01.02.1964;11.11677;37.6;9.4;30.3;54.6;;;;;;
01.03.1964;11.11891;37.6;9.4;30.2;54.8;;;;;;
01.04.1964;11.12336;37.7;9.5;30.2;55.3;;;;;;
01.05.1964;11.12707;37.7;9.6;30.2;55.8;;;;;;
01.06.1964;11.11745;37.7;9.6;30.1;56;;;;;;
01.07.1964;11.097;37.7;9.7;30.2;56;;;;;;
01.08.1964;11.08533;37.8;9.7;30.2;56.2;;;;;;
01.09.1964;11.06796;37.9;9.7;30.3;56.2;;;;;;
01.10.1964;11.06305;38.1;9.7;30.3;56.3;;;;;;
01.11.1964;11.07178;38.3;9.7;30.5;56.7;;;;;;
01.12.1964;11.09864;38.3;9.7;30.6;56.9;;;;;;
01.01.1965;11.094;38.4;9.8;30.8;57.1;;;;;;
01.02.1965;11.107;38.5;9.8;30.9;57.1;;;;;;
01.03.1965;11.106;38.6;9.8;30.8;57.3;;;;;;
01.04.1965;11.096;38.7;9.9;31;58.4;;;;;;
01.05.1965;11.136;38.8;10;31.1;58.6;;;;;;
01.06.1965;11.152;38.8;10;31.2;58.8;;;;;;
01.07.1965;11.175;38.8;10;31.4;58.8;;;;;;
01.08.1965;11.199;38.8;10;31.3;58.9;;;;;;
01.09.1965;11.198;38.8;10;31.4;58.9;;;;;;
01.10.1965;11.239;38.9;10;31.5;59;;;;;;
01.11.1965;11.219;38.9;10;31.7;59.2;;;;;;
01.12.1965;11.211;38.9;10;31.8;59.5;;;;;;
01.01.1966;11.228;39.1;10.1;32;59.6;;;;;;
01.02.1966;11.259;39.3;10.1;32.2;59.6;;;;;;
01.03.1966;11.242;39.6;10.2;32.1;59.7;;;;;;
01.04.1966;11.218;39.6;10.2;32.4;60.5;;;;;;
01.05.1966;11.227;39.5;10.2;32.4;60.9;;;;;;
01.06.1966;11.195;39.5;10.2;32.3;61.1;;;;;;
01.07.1966;11.158;39.6;10.3;32.4;60.8;;;;;;
01.08.1966;11.136;39.4;10.3;32.4;61.2;;;;;;
01.09.1966;11.124;39.3;10.3;32.4;61.1;;;;;;
01.10.1966;11.135;39.3;10.3;32.5;61.2;;;;;;
01.11.1966;11.103;39.3;10.3;32.7;61.6;;;;;;
01.12.1966;11.086;39.3;10.3;32.7;61.7;;;;;;
01.01.1967;11.094;39.3;10.3;32.8;61.8;;;;;;
01.02.1967;11.1095;39.2;10.3;32.9;61.8;;;;;;
01.03.1967;11.1005;39.1;10.3;32.9;61.8;;;;;;
01.04.1967;11.1203;38.9;10.3;32.9;62.3;;;;;;
01.05.1967;11.1188;38.9;10.3;32.9;62.3;;;;;;
01.06.1967;11.1223;38.9;10.3;32.9;62.5;;;;;;
01.07.1967;11.1243;38.9;10.4;33;62.1;;;;;;
01.08.1967;11.1525;38.9;10.4;32.9;62;;;;;;
01.09.1967;11.1435;38.9;10.4;32.9;61.9;;;;;;
01.10.1967;11.141;38.9;10.4;32.9;62.4;;;;;;
01.11.1967;11.1418;38.9;10.4;33;62.8;;;;;;
01.12.1967;9.6373;38.9;10.4;32.9;63.2;;;;;;
01.01.1968;9.614;38.9;10.5;33.4;63.4;;;;;;
01.02.1968;9.656;38.9;10.6;33.5;63.7;;;;;;
01.03.1968;9.6203;38.9;10.7;33.4;63.9;;;;;;
01.04.1968;9.565;38.8;10.7;33.4;65.1;;;;;;
01.05.1968;9.5558;38.6;10.7;33.4;65.1;;;;;;
01.06.1968;9.4893;38.7;10.7;33.4;65.4;;;;;;
01.07.1968;9.506;38.6;10.7;33.4;65.4;;;;;;
01.08.1968;9.6255;38.7;10.8;33.4;65.5;;;;;;
01.09.1968;9.4575;38.7;10.8;33.4;65.6;;;;;;
01.10.1968;9.5033;38.8;10.8;33.4;65.9;;;;;;
01.11.1968;9.5088;38.8;10.8;33.6;66.1;;;;;;
01.12.1968;9.5093;38.8;11;33.6;66.9;;;;;;
01.01.1969;9.53;38.9;11;33.9;67.3;;;;;;
01.02.1969;9.53;38.9;11;34.1;67.7;;;;;;
01.03.1969;9.53;38.9;11;34;67.9;;;;;;
01.04.1969;9.53;39;11.1;34;68.7;;;;;;
01.05.1969;9.53;39.1;11.1;34;68.6;;;;;;
