Code;DMARKER(ER);BDPROPRCF;UKPROPRCF;BDCONPRCF;UKCDKO..F
Q1 1963;11.2274;37.4;9.3;29.5;53.9
Q2 1963;11.17833;37.3;9.3;29.6;54.2
Q3 1963;11.16078;37.3;9.3;29.5;53.8
Q4 1963;11.12722;37.5;9.4;29.8;54.2
Q1 1964;11.11677;37.6;9.4;30.2;54.7
Q2 1964;11.12707;37.7;9.6;30.2;55.7
Q3 1964;11.08533;37.8;9.7;30.2;56.1
Q4 1964;11.07178;38.2;9.7;30.5;56.6
Q1 1965;11.107;38.5;9.8;30.8;57.2
Q2 1965;11.136;38.8;9.9;31.1;58.6
Q3 1965;11.199;38.8;10;31.4;58.9
Q4 1965;11.219;38.9;10;31.7;59.2
Q1 1966;11.259;39.3;10.1;32.1;59.6
Q2 1966;11.227;39.5;10.2;32.4;60.8
Q3 1966;11.136;39.4;10.3;32.4;61
Q4 1966;11.103;39.3;10.3;32.6;61.5
Q1 1967;11.1095;39.2;10.3;32.9;61.8
Q2 1967;11.1188;38.9;10.3;32.9;62.4
Q3 1967;11.1525;38.9;10.4;32.9;62
Q4 1967;11.1418;38.9;10.4;32.9;62.8
Q1 1968;9.656;38.9;10.6;33.4;63.7
Q2 1968;9.5558;38.7;10.7;33.4;65.2
Q3 1968;9.6255;38.7;10.8;33.4;65.5
Q4 1968;9.5088;38.8;10.9;33.5;66.3
Q1 1969;9.53;38.9;11;34;67.6
Q2 1969;9.53;39.1;11.1;34;68.7
Q3 1969;9.53;39.5;11.2;34.1;68.8
Q4 1969;9.53;40.2;11.3;34.2;69.7
Q1 1970;8.882;41.1;11.6;34.9;71
Q2 1970;8.723;41.3;11.8;35.1;72.7
Q3 1970;8.653;41.5;12;35.3;73.6
Q4 1970;8.677;41.9;12.4;35.6;75.1
Q1 1971;8.789;42.9;12.7;36.5;77.1
Q2 1971;8.787;43.2;13;36.9;79.9
Q3 1971;8.787;43.4;13.2;37.3;81
Q4 1971;8.3075;43.4;13.2;37.6;82
Q1 1972;8.315;43.8;13.4;38.4;83.3
Q2 1972;8.305;44.2;13.5;38.8;84.8
Q3 1972;7.7775;44.5;13.8;39.4;86.2
Q4 1972;7.5475;44.8;14.1;40;88.3
Q1 1973;7.5225;46;14.3;40.9;89.9
Q2 1973;7.0575;46.8;14.4;41.6;92.7
Q3 1973;5.85;47.6;14.8;42;94.2
Q4 1973;5.97;48.6;15.4;42.9;97.4
Q1 1974;6.285;51.5;16.6;43.9;101.4
Q2 1974;5.945;53.4;17.7;44.5;107.5
Q3 1974;6.135;54.3;18.4;45;110.2
Q4 1974;6.01;55.2;19.4;45.7;115.1
Q1 1975;5.5925;55.8;20.8;46.5;122
Q2 1975;5.5875;56.1;21.9;47.3;133.6
Q3 1975;5.52;56.3;22.6;47.8;139.4
Q4 1975;5.3025;56.4;23.4;48.1;144.2
Q1 1976;5.2125;57.1;24.4;49;149.4
Q2 1976;4.6325;58.1;25.2;49.4;154.9
Q3 1976;4.54;58.7;26.2;49.6;158.5
Q4 1976;3.8275;58.7;27.5;49.9;165.8
Q1 1977;4.145;59.3;29.1;50.8;174.1
Q2 1977;4.0515;59.9;30.4;51.3;181.9
Q3 1977;3.9937;59.9;31.4;51.5;184.7
Q4 1977;4.13;59.9;31.8;51.7;187.4
Q1 1978;4.1225;60;32.6;52.3;190.6
Q2 1978;3.785;60.5;33.2;52.7;195.8
Q3 1978;3.935;60.6;33.8;52.8;199.2
Q4 1978;3.735;60.8;34.4;53;202.6
Q1 1979;3.7325;61.7;35.2;53.8;208.9
Q2 1979;3.905;62.9;36.6;54.5;216.6
Q3 1979;4.155;63.9;38.4;55.3;231.1
Q4 1979;3.7275;64.7;39.4;55.8;237.6
Q1 1980;3.9675;66.5;41.5;56.8;248.8
Q2 1980;4.0725;68.1;43.2;57.6;263.2
Q3 1980;4.185;68.4;44;58.1;268.9
Q4 1980;4.6825;69.4;44.8;58.7;273.9
Q1 1981;4.98;71.1;46.1;60.1;280.4
Q2 1981;4.73;72.9;47.6;61;294
Q3 1981;4.55;74.3;48.6;62;299.1
Q4 1981;4.165;75.5;49.7;62.8;306.5
Q1 1982;4.3775;76.7;50.9;63.7;311.6
Q2 1982;4.185;77.6;51.6;64.2;321.5
Q3 1982;4.27;78.2;52.5;65.1;323
Q4 1982;4.297;78.5;53.5;65.8;325.4
Q1 1983;3.755;78.3;54.4;66.2;327
Q2 1983;3.8475;78.5;55.3;66.4;333.7
Q3 1983;4.045;79.1;56;67.2;338
Q4 1983;3.9475;79.7;56.3;67.5;341.8
Q1 1984;3.9425;80.3;57.3;68.1;343.9
Q2 1984;3.815;81;58.5;68.3;350.9
Q3 1984;3.795;81.3;59.1;68.4;353.9
Q4 1984;3.695;82;60.3;68.9;358.3
Q1 1985;3.57;82.8;61.8;69.7;362.9
Q2 1985;3.85;83.3;62.4;70;375.3
Q3 1985;3.9;83.3;62.7;69.8;376.3
Q4 1985;3.7525;83.1;62.8;70;378.1
Q1 1986;3.3275;82.5;63.1;70.2;380.8
Q2 1986;3.37;81.4;63.1;69.9;385.7
Q3 1986;3.095;80.8;63.2;69.6;386.1
Q4 1986;2.9125;79.4;63.8;69.4;391
Q1 1987;2.755;79;64.7;69.9;395.8
Q2 1987;2.975;78.8;65.2;69.9;401.9
Q3 1987;2.9525;79.1;65.6;70;402.8
Q4 1987;2.9775;79.3;66.2;70;407.1
Q1 1988;2.975;79.3;66.8;70.5;409.1
Q2 1988;3.1475;79.9;67.6;70.8;419
Q3 1988;3.215;80.2;68.3;70.8;424.7
Q4 1988;3.1575;80.6;68.7;71.2;433.7
Q1 1989;3.2675;81.8;69.8;72.3;440.7
Q2 1989;3.175;82.5;70.9;72.8;453.3
Q3 1989;3.085;82.7;71.5;72.9;457.5
Q4 1989;2.9075;83.1;72.3;73.3;466.6
Q1 1990;2.8275;83.2;73.6;74.2;474.8
Q2 1990;2.755;83.9;75.2;74.5;497.1
Q3 1990;2.9525;84.2;76.1;74.8;505.2
Q4 1990;2.9425;84.7;77.3;75.6;513.1
Q1 1991;2.9;85.1;78.3;74.4;516.1
Q2 1991;2.9425;85.8;79.7;75.1;526.9
Q3 1991;2.9425;86.5;80;76.4;529.3
Q4 1991;2.905;86.6;80.4;77.8;534.4
Q1 1992;2.8675;86.8;81.1;78.8;537.3
Q2 1992;2.93;87.5;82.2;79.7;548.9
Q3 1992;2.84;87.4;82.2;80.2;548.5
Q4 1992;2.4025;87.1;82.8;80.4;550.7
Q1 1993;2.38;87.2;84;82.5;547
Q2 1993;2.4925;87.3;85.5;83.2;555.8
Q3 1993;2.555;87.2;85.8;83.8;557.4
Q4 1993;2.5075;87;86.1;83.8;559.3
Q1 1994;2.60275;87.4;86.7;84.9;560.1
Q2 1994;2.50565;87.6;87.3;85.5;570.2
Q3 1994;2.42205;87.7;87.7;86;570.3
Q4 1994;2.451;88.1;88.2;85.9;574
Q1 1995;2.408;89;89.9;86.7;579.1
Q2 1995;2.2469;89.3;90.8;87;589.7
Q3 1995;2.2071;89.3;91.4;87.3;591.2
Q4 1995;2.2358;89.2;91.8;87.2;592.2
Q1 1996;2.2595;88;93.6;88;595.2
Q2 1996;2.295;88;94.1;88.3;602.9
Q3 1996;2.2946;88;94;88.5;604
Q4 1996;2.4833;88.4;94.5;88.5;607.6
Q1 1997;2.6481;88.7;94.7;89.5;611.2
Q2 1997;2.7909;89;94.7;89.6;619
Q3 1997;3.0394;89.5;95.1;90.5;625
Q4 1997;2.9115;89.5;95.3;90.4;630
Q1 1998;2.9819;89.3;95.1;90.6;632
Q2 1998;2.9642;89.2;95.2;90.9;643.7
Q3 1998;2.8994;88.8;95;91.1;645.8
Q4 1998;2.7531;87.9;94.8;90.8;648.7
Q1 1999;2.8383;87.1;94.9;90.8;645.9
Q2 1999;2.9799;87.7;95.7;91.3;652.8
Q3 1999;2.9606;88.1;95.7;91.7;653.3
Q4 1999;3.0611;88.5;95.9;91.6;658.1
Q1 2000;3.2467;89;96.1;92.2;660.8
Q2 2000;3.3445;89.9;97;92.4;673.1
Q3 2000;3.1705;91.1;97.2;92.9;674.2
Q4 2000;3.3015;92.2;97.3;93.2;678.4
Q1 2001;3.0755;93.1;96.6;93.8;677.6
Q2 2001;3.1438;94;97;94.7;686
Q3 2001;3.1865;93.6;96.7;94.9;686.3
Q4 2001;3.1557;92.4;96.1;94.8;685.5
Q1 2002;3.2113;92.7;96;95.7;685.9
Q2 2002;3.1555;92.8;96.6;95.9;694.4
Q3 2002;3.0967;92.6;96.6;96;696.8
Q4 2002;3.0705;92.7;96.7;95.9;703
Q1 2003;2.9865;94.3;97.2;96.8;706.9
Q2 2003;2.79755;94.2;97.1;96.7;715.3
Q3 2003;2.79505;94.3;97;97;717.2
Q4 2003;2.8659;94.4;97.2;97;721.7
Q1 2004;2.8597;94.4;97.2;97.7;725.2
Q2 2004;2.90345;95.4;97.9;98.4;735.1
Q3 2004;2.96805;96.3;98.3;98.7;739.4
Q4 2004;2.81335;97.2;98.8;99;746.3
Q1 2005;2.8265;98.3;98.8;99.3;748.2
Q2 2005;2.8839;99.4;99.8;99.7;757.2
Q3 2005;2.83615;100.6;100.6;100.4;759.9
Q4 2005;2.8731;101.6;100.8;100.6;764
Q1 2006;2.87675;103.8;101.2;101;766.1
Q2 2006;2.8393;105.5;102.2;101.6;779.4
Q3 2006;2.86625;106.3;102.6;101.8;786.1
Q4 2006;2.92025;106.1;102.1;101.9;794.5
Q1 2007;2.95955;106.1;102.7;102.8;801
Q2 2007;2.87575;106.5;103.9;103.6;813.9
Q3 2007;2.90215;106.7;104.6;104.2;817.2
Q4 2007;2.82065;107.9;106.3;105;827.8
Q1 2008;2.5976;109.5;108.4;105.8;832.8
Q2 2008;2.4997;112.2;111.7;106.6;849.4
Q3 2008;2.4809;115.2;113.5;107.4;857.5
Q4 2008;2.42945;113.6;112;106.8;850.3
Q1 2009;2.16305;110.4;111.6;106.7;832.1
Q2 2009;2.1924;108.2;112.7;106.9;838.6
Q3 2009;2.2963;106.7;113.5;107.1;845.7
Q4 2009;2.1618;106.5;114.7;107.2;855.5
Q1 2010;2.2384;107.5;116;107.5;865
Q2 2010;2.26045;109.3;118.1;108;881.7
Q3 2010;2.35785;110.5;118.2;108.4;885.5
Q4 2010;2.25965;111.5;119.4;108.8;895.5
Q1 2011;2.2908;114.1;122.1;109.8;911
Q2 2011;2.1939;115.9;124.7;110.5;926.8
Q3 2011;2.2393;116.7;125.4;111;931.9
Q4 2011;2.28025;116.9;125.8;111.4;941.4
Q1 2012;2.3501;117.9;126.9;112.1;945.1
Q2 2012;2.39885;118.3;128.1;112.6;955.6
Q3 2012;2.4793;118.3;128.2;113.2;959
