Date;Australia;Austria;Belgium;Canada;Taiwan;Denmark;Euro;Finland;France;Germany;Greece;Hong Kong;Ireland;Italy;Japan;Korea;Mexico;Netherlands;New Zealand;Norway;Portugal;Singapore;Spain;Sweden;Switzerland;UK;USA
01-1964;102,08;82,06;98,74;107,45;127,94;79,96;82,2;126,11;120,42;100,12;97,54;121,29;83,27;113,3;45,52;235,44;114,55;79,45;108,4;85,61;69,81;131,93;66,72;150,6;68,49;159,62;146,51
02-1964;102,12;82,26;98,49;107,32;127,68;79,65;82,17;126,73;120,18;100,28;97,31;124,64;83,13;113,24;45,17;251,55;112,41;79,23;108,15;86;70,07;131,82;66,63;150,86;68,28;159,29;146,03
03-1964;102,14;81,73;97,99;107,22;127,2;79,63;82,22;127,92;120,03;100,11;97,9;120,57;83,07;113,42;45,16;256,84;113,36;80,02;108,26;85,87;70,81;131,27;66,74;152,26;68,2;159,08;145,82
04-1964;101,51;81,44;97,73;107,66;125,79;80,72;82,03;128,14;119,75;99,31;97,65;118,09;85,76;113,11;45,6;260,85;112,73;83,21;108,22;86,14;70,24;128,93;66,67;151,58;68,42;160,15;145,03
05-1964;103,67;82,14;98,5;108,77;128,66;81,07;83,01;129,84;120,28;99,98;98,2;124,25;85,79;114,21;48,11;138,45;113,95;81,17;110,13;86,55;69,84;132,55;67,13;153,13;69,19;163,06;149,1
06-1964;103,83;82,15;99,38;108,62;127,69;80,86;83,43;130,18;120,46;99,55;97,67;125,67;85,59;115,13;48,01;132,12;113,57;80,92;110,73;86,38;69,73;132,42;67,94;153,46;68,96;162,68;150,01
07-1964;104,1;83,72;100,03;108,99;126,56;80,54;83,92;129,89;120,32;99,33;97,16;126,68;86,36;115,44;47,98;128,34;113,42;80,71;111,09;87,37;69,78;132,97;69,18;153,19;68,63;161,68;150,31
08-1964;104,3;83,61;99,82;109,36;127,51;80,13;83,77;129,56;119,93;98,96;96,21;125,2;85,91;115,4;48,36;126,82;114,14;81,41;111,28;87,64;69,59;134,83;70,14;153,93;68,62;162,77;149,15
09-1964;103,96;83,32;99,62;109,06;128,19;79,75;83,66;130,41;120,22;98,41;96,66;129,08;85,54;115,41;48,77;130,32;113,92;82,02;111,17;87,87;69,11;133,16;70,56;153,65;68,41;161,65;148,36
10-1964;103,75;82,97;99,73;108,87;129,37;80,91;83,67;130,08;120,1;98,28;96,93;130,12;86,23;115,7;49,34;132,13;114;81,1;111,17;86,83;69,31;131,32;71,46;152,74;68,33;160,82;147,3
11-1964;103,86;82,66;99,89;108,72;128,93;80,59;84,03;130,19;119,59;98,49;95,92;130,96;86,08;115,79;49,06;131,9;114,12;80,99;111,51;87,18;69,17;131,05;72,95;152,83;68,15;160,28;147,58
12-1964;103,76;81,82;99,76;109,21;126,91;80,37;84,09;130,02;118,98;98,99;96,32;124,7;85,74;115,78;49,26;132,72;114,21;80,64;111,45;86,92;68,99;132,17;73,53;153;67,96;161,76;147,06
01-1965;102,94;81,89;99,4;109,02;124,3;81,33;84,02;129,92;118,75;98,56;95,8;120,53;86,3;115,71;50,13;137,51;114,32;82,35;110,88;87,06;68,87;131,57;73,91;152,88;67,64;161,17;145,99
02-1965;103,09;81,79;99,54;108,79;123,95;81,19;84,33;130,24;118,93;98,4;95,38;121,71;86,39;115,76;49,75;140,67;114,11;82,25;110,76;86,97;68,79;131,1;75,1;152,65;67,58;160,71;145,97
03-1965;103,08;81,95;99,23;107,94;123,16;80,87;84,51;130,67;118,49;98,69;95,93;122,79;86,09;115,63;49,86;139,18;114,94;82,58;110,41;87,92;69,38;129,93;75,44;153,12;67,16;160,35;146,3
04-1965;103,01;81,6;98,87;108,28;122,73;81,95;83,94;129,95;118,19;98,34;96,34;121,95;86,91;115,24;50,45;139,71;114,96;82,82;109,55;87,37;69,88;127,04;75,58;152,83;67,03;162,7;145,59
05-1965;103,59;83,58;99,8;108,22;123,49;81,73;84,15;130,23;118,2;97,95;96,4;121,88;86,76;115,38;50,08;138,78;116,56;82,91;109,63;87,22;69,21;128,09;75,7;152,3;67,55;162,83;145,44
06-1965;103,65;86,28;99,58;108,71;123,68;81,28;84,45;130,28;119,82;97,78;96,4;121,61;86,4;115;49,86;136,2;116,06;82,48;109,82;86,9;68,72;128,27;74,97;152,39;67,74;161,75;145,98
07-1965;104,03;85,37;99,92;108,62;123,98;83,42;84,14;130,66;118,54;97,85;96,37;124,17;86,65;115,38;49,57;136,44;114,77;82,5;110,39;87,08;68,91;127,54;75,11;155,79;68,1;161,64;146,21
08-1965;104,07;85,31;99,82;109,03;124,45;83,23;83,8;130,8;117,9;97,45;96,23;123,77;86,32;115,48;49,65;137,16;115,25;83,14;110,57;86,35;69,2;128;75,41;155,37;68,49;163,1;145,66
09-1965;104,13;84,69;99,85;109,05;124,4;83,26;83,72;129,99;117,92;97,17;96,43;124,36;86,29;115,41;50,36;135,71;115,26;83,28;110,3;86,75;70,3;127,73;75,91;155,49;68,46;162,54;144,88
10-1965;104,32;83,86;99,63;108,8;122,7;84,44;83,63;130,5;117,82;97,53;97,29;125,12;86,19;114,87;50,85;134,18;114,98;82,92;109,91;85,83;70,58;127,51;76,07;155,18;68,39;162,54;144,81
11-1965;104,86;83,92;99,77;109,47;123,06;84,19;84,06;130,25;117,38;97,89;96,87;123,93;86,02;114,4;50,53;132,04;116,15;83,29;109,98;86,26;70,95;128,54;77,51;154,68;68,76;162,11;144,58
12-1965;104,87;83,93;99,92;109,63;123,35;83,89;83,99;129,57;117,2;97,95;97,48;120,98;85,51;114,36;50,59;131,94;116,43;83,12;109,73;85,86;70,28;129,02;77,65;154,95;68,66;163,05;144,37
01-1966;104,87;83,19;99,72;109,56;122,37;84,9;83,88;129,27;117,51;97,73;97,38;121,5;85,34;114,43;51;134,39;115,81;83,71;109,42;85,96;71,32;129,89;77,11;156,19;68,59;162,35;143,6
02-1966;104,72;82,58;99,75;109,41;120,04;84,51;83,69;129,11;117,23;97,65;96,67;121,12;85,12;114,19;51,05;137,75;116,77;84,36;109,3;85,62;72,22;128,15;76,83;157,74;68,55;161,96;143,93
03-1966;104,41;82,41;99,83;109,76;119,64;84,3;83,73;129,17;117,37;97,72;97,67;120,89;84,77;113,9;50,84;141,02;116,45;84,58;109,41;85,98;73;126,84;76,62;158,22;68,41;161,45;144,03
04-1966;103,54;81,89;100,09;109,6;119,46;85,57;83,51;129,05;116,95;97,8;98,45;120,02;85,72;113,71;51,3;140,24;115,82;84,39;108,98;85,4;72,69;126,39;76,92;157,7;68,3;161,72;143,98
05-1966;103,24;81,75;100,58;109,56;119,73;85,08;83,44;129,68;116,95;97,43;98,23;119,8;85,35;113,59;50,73;144,45;116,19;84,19;109,18;85,07;71,6;126;77,92;158,23;69,16;162,88;143,72
06-1966;102,71;82,43;100,6;109,87;122,37;84,94;83,42;129,64;116,74;97,5;97,54;122,87;85,16;113,42;50,49;144,32;116,15;84,68;109,32;84,94;69,8;125,93;77,98;158,31;68,94;162,4;143,66
07-1966;102,36;82,29;99,77;109,72;122,08;85,26;83,41;130,02;116,97;97,77;97,17;127,27;86,4;113,31;50,54;143,22;116,09;84,07;109,4;86,63;70,18;125,99;77,79;157,13;68,78;161,93;143,77
08-1966;102,38;82,75;99,69;109,85;121,43;85,06;83,13;130,48;116,78;97,39;96,83;122,47;86,09;113,29;49,97;146,25;116,29;84,28;109,45;86,53;69,97;126,87;77,92;157,85;68,77;163,44;144,56
09-1966;102,18;83,05;99,5;109,52;123,39;85,15;82,82;130,9;116,53;97,24;97,83;121,69;85,99;113,05;50,57;148,16;117,1;84,31;108,94;86,38;70,64;125,34;77,57;157,95;68,71;163,11;143,73
10-1966;102,23;83,17;99,46;108,58;123,63;86,39;82,68;130,91;115,72;97,38;98,73;118,74;86,06;112,78;50,69;151,29;116,15;84,06;108,42;86,65;71,77;123,92;77,85;157,61;68,51;162,68;144,21
11-1966;102,87;82,92;99,07;108,37;122,2;85,88;83,11;130,88;115,67;98,18;98,02;119,02;85,61;112,56;50,14;147,78;116,35;83,66;108,74;86,3;71,4;125,51;78,83;157,93;69,27;163,57;144,51
12-1966;102,92;82,26;98,97;108,75;120,68;85,76;83,12;131,15;115,23;98,36;98,81;119,81;85,47;112,64;50,65;147,21;116,64;83,52;109;86,1;70,92;125,84;79,24;157,51;69,4;163,09;143,87
01-1967;102,75;83,68;98,89;108,91;120,97;86,29;83,08;128,21;115,64;98,03;98,67;122,54;85,41;112,24;51,01;147,6;116,39;83,73;109,44;86,18;71,54;127,03;78,99;158,25;69,19;162,37;142,99
02-1967;102,87;83,55;99,46;108,68;122,95;85,94;83,43;129,1;115,5;97,93;97,84;122,07;85,57;112,25;51,03;149,71;116,4;84,24;110,28;86;72,17;126,7;79,44;158,98;68,79;160,56;142,57
03-1967;102,93;82,96;99,66;108,83;120,47;85,73;83,27;129,31;115,35;97,82;98,67;120,7;85,21;112,2;51,16;151,3;115,89;84,25;111,06;86,24;72,91;125,71;79,46;159,88;68,64;161,62;142,62
04-1967;102,99;82,77;100,08;109,03;119,74;86,64;83,22;131,07;115,06;97,42;99,04;121,44;86,55;112,09;51,16;154,82;116,64;84,66;111,71;86;72,67;123,23;80,34;159,57;68,63;161,33;142,4
