GCR	ITR	MTR	PCR	XTR	YER
129381.2915	174535.1377	106301.4346	400636.5195	102651.612	712078.4752
131672.211	184900.0069	108945.7015	405622.6429	105286.1944	725765.9821
133581.1364	187713.1431	112646.6065	410488.618	107706.3252	734509.6961
135780.7042	186947.2792	112952.6895	418459.6402	109171.1682	743407.4171
136233.7699	185944.6769	114815.9284	421341.0397	111390.9334	742107.5771
138691.3999	190858.9765	113972.7565	427592.7752	111309.5808	751614.0942
140191.1122	191760.725	117240.7249	431323.6189	116636.3638	763336.1967
141236.4673	194151.5281	118304.7041	436296.1502	116655.5209	769407.5523
143653.02	196456.9315	124104.9982	443724.1861	121881.6547	780808.7325
144464.8215	199215.7978	127319.3974	445675.1698	123177.0397	786066.27
145951.7844	201939.0807	129708.3314	453715.8863	124758.8715	796814.6943
147581.2015	206740.7306	134130.8867	458299.8361	130770.6225	808478.6729
150395.5279	211091.2939	136588.347	467893.761	131640.7338	824043.8509
151194.6918	211298.4165	140473.4351	472667.9121	138305.2881	834035.3415
151768.9499	212452.5148	145842.8089	475107.3115	140297.0724	845488.7265
154212.374	213099.9587	147594.8937	479827.3408	140167.5981	854726.6208
156649.1971	212370.0253	146414.4078	480325.2338	148024.8039	863189.1344
158142.1785	206726.2282	146017.8977	484866.8872	144746.6402	864751.0494
159433.3912	206919.9826	150338.2994	488013.5578	149558.6448	870642.0904
161033.4201	200832.3399	139516.3333	483318.2852	144798.3356	856769.1017
162935.1633	197983.5345	133068.8406	486492.9433	141487.2337	848772.6858
164993.5654	195254.4942	135357.1258	493346.9121	141294.0011	853155.0934
167631.7625	195996.1015	139435.5155	499352.227	143065.0831	860776.2077
168414.1608	199167.9876	144140.8227	506130.2827	145771.0729	869871.9122
169392.1111	199178.8766	150013.3187	512735.8997	151542.2515	884074.5687
171003.2471	199793.9573	152887.4174	516382.4535	155052.8605	895443.9451
172918.3472	199299.2731	155013.1973	520385.3227	157562.0825	902981.8938
174114.2494	204108.5978	158343.0757	526213.1113	162198.6874	917485.2102
174664.8597	206553.523	154761.0967	527417.6638	162245.0544	921267.4108
175464.0762	203667.266	156372.9179	534283.1823	166060.7039	922508.7018
177753.8611	204742.3352	158523.4197	538544.7446	167390.9112	923233.6451
180592.7323	207272.1272	159031.8132	543940.16	172636.3499	934276.7589
181632.7809	207927.7259	155747.4494	545606.0833	171889.863	940284.4406
183162.6224	210167.7573	160855.1046	551588.9208	176293.6064	951013.0595
185417.2968	210461.3478	165668.0925	555711.5515	179903.5148	955467.0749
187161.5864	212350.7175	171248.2125	561969.8755	181696.4552	966845.8038
188773.2418	209235.7465	172147.1468	565858.6915	186483.0184	971784.0002
190435.366	217472.2829	178826.5537	576627.1485	187404.819	987351.768
191780.103	218857.4039	182411.1679	574477.454	192508.9119	992388.5424
192746.1576	222294.5295	185381.5679	580335.5201	193466.0176	1001814.473
194485.1518	224658.4014	190337.7752	585616.3722	199680.0943	1011269.774
196739.1399	220885.958	185216.5543	582034.7301	190967.7182	1006521.292
198027.9775	220030.5087	186648.8774	586249.8639	188765.7017	1005947.525
198791.6981	218092.0394	183325.7925	585927.5683	190238.106	1006420.048
203671.3951	215933.9736	183336.3841	585510.8834	193764.3502	1007391.12
201912.5474	215641.8304	183396.4255	584831.8348	202103.0359	1010408.812
203341.6245	214125.3529	184046.3638	586790.9285	210250.3363	1013196.515
203949.5466	209305.2882	183822.1632	589778.6637	207777.4388	1015573.926
207323.7268	209415.4859	188212.5088	592251.914	208238.043	1019771.127
207211.9873	209242.0889	186953.4555	590490.2165	205897.7464	1021142.738
207961.4606	207204.7258	185050.3435	587252.921	203192.2622	1015696.185
208544.4669	205644.5733	183728.1227	591289.6559	207338.1444	1016131.93
